SOURCE,TARGET,TYPE
رباط سنده,بغرقان,undirected
بغرقان,شراخان,undirected
شراخان,كاث,undirected
كاث,خاس,undirected
خاس,نوزكات,undirected
نوزكات,وايخان,undirected
وايخان,نوباغ,undirected
نوباغ,مزداخقان,undirected
مزداخقان,درسان,undirected
درسان,كردر,undirected
كردر,جويقان,undirected
جويقان,قرية براتكين,undirected
قرية براتكين,البحيرة,undirected
رباط ماش,أمير,undirected
أمير,باراب سار,undirected
باراب سار,أرذخيوه,undirected
مزداخقان,وردراغ,undirected
وردراغ,كردر,undirected
كاث,غردمان,undirected
غردمان,وايخان,undirected
وايخان,أرذخيوه,undirected
أرذخيوه,نوكباغ,undirected
اوزارمند,دسكاخان خاس,undirected
دسكاخان خاس,رخشميثن,undirected
رخشميثن,خيوه,undirected
خيوه,كردرانخاس,undirected
كردرانخاس,زردوخ,undirected
زردوخ بريدا ,هزاراسب,undirected
اوزارمند,روزوند,undirected
روزوند,نوزوار,undirected
نوزوار,زمخشر,undirected
زمخشر,الجرجانية,undirected
بخارا,نخشب,undirected
نخشب,الصغانيان,undirected
الصغانيان,دارزنجى,undirected
الصغانيان,باسند,undirected
الصغانيان,بايماب,undirected
الصغانيان,سنكردة,undirected
الصغانيان,بوراب,undirected
الصغانيان,بهام,undirected
الصغانيان,غش,undirected
الصغانيان,زينور,undirected
الصغانيان,هنبان,undirected
الصغانيان,الختل,undirected
الصغانيان,سمرقند,undirected
بلخ,خلم,undirected
خلم,ورواليز,undirected
ورواليز,الطالقان,undirected
الطالقان,بذخشان,undirected
خلم,سمنجان,undirected
سمنجان,أندرابة,undirected
أندرابة,كاربايه,undirected
كاربايه,بنجهير,undirected
بنجهير,فروان,undirected
بلخ,بغلان,undirected
سمنجان,بغلان,undirected
بلخ,مذر,undirected
مذر,كه,undirected
كه,الباميان,undirected
بلخ,أشبورقان,undirected
أشبورقان,الفارياب,undirected
الفارياب,الطالقان,undirected
بلخ,شاوكرد,undirected
شاوكرد,ترمذ,undirected
اليهودية,القاع,undirected
القاع,اشبورقان,undirected
اشبورقان,السدرة,undirected
السدرة,الدستجرده,undirected
الدستجرده,بلخ,undirected
اليهودية,قصر الأمير,undirected
قصر الأمير,فارياب,undirected
فارياب,كرك,undirected
كرك,الطالقان,undirected
اليهودية,أنبار,undirected
أنبار,رباط,undirected
رباط,بلخ,undirected
فارياب,آستانة,undirected
آستانة,جوبين وملين,undirected
جوبين وملين,أندخوذ,undirected
أندخوذ,رباط أفريغون,undirected
رباط أفريغون,قنى غياث,undirected
قنى غياث,كركوه,undirected
مرو,فاز,undirected
فاز,مهدي آباذ,undirected
مهدي آباذ,بحيرآباذ,undirected
بحيرآباذ,القرينين,undirected
القرينين,أسداباذ,undirected
القرينين,حوزان,undirected
حوزان,قصر أحنف,undirected
قصر أحنف,أرسكن,undirected
أرسكن,الأسراب,undirected
الأسراب,كنجاباذ,undirected
كنجاباذ,الطالقان,undirected
الطالقان,كسحان,undirected
كسحان,اليهودية,undirected
مرو,جروجرد,undirected
جروجرد,الدندانقان,undirected
الدندانقان,تلستانة,undirected
تلستانة,أشترمغك,undirected
أشترمغك,سرخس,undirected
مرو,كشميهن,undirected
كشميهن,رباط الحديد,undirected
رباط الحديد,رباط نصرك,undirected
رباط نصرك,جب حماد,undirected
جب حماد,رباط بارس,undirected
رباط بارس,آمل,undirected
آمل,جيحون,undirected
ابشين,رباط شور,undirected
رباط شور,رباط شار,undirected
رباط شار,قرية القاضي,undirected
قرية القاضي,شورمين,undirected
شورمين,قرية المجوس,undirected
قرية المجوس,خاره,undirected
خاره,رباط ميانه,undirected
رباط ميانه,كروخ,undirected
كروخ,هراة,undirected
ابشين,رباط كرزوان,undirected
رباط كرزوان,مرزك,undirected
مرزك,رباطروذ,undirected
رباطروذ,مروالروذ,undirected
مروالروذ,جسر حر,undirected
جسر حر,الطالقان,undirected
هراة,أسفزار,undirected
هراة,مالن,undirected
هراة,كروخ,undirected
هراة,باشان,undirected
باشان,خيسار,undirected
خيسار,استربيان,undirected
استربيان,ماراباذ,undirected
ماراباذ,أوفه,undirected
أوفه,خشت,undirected
هراة,ببنة,undirected
ببنة,كيف,undirected
كيف,بغشور,undirected
غزنين,رباط البارد,undirected
رباط البارد,اسناخ,undirected
اسناخ,حنس,undirected
حنس,الباميان,undirected
غزنين,كرديز,undirected
كرديز,اوغ,undirected
بست,رباط فيروزقند,undirected
رباط فيروزقند,ميغون,undirected
ميغون,رباط كشر,undirected
رباط كشر,بنجواى,undirected
بنجواى,كراباذ,undirected
كراباذ,خرسان,undirected
خرسان,رباط سراب,undirected
رباط سراب,رباط الاوقل,undirected
رباط الاوقل,خنكل اباذ,undirected
خنكل اباذ,قرية غرم,undirected
قرية غرم,قرية خاست,undirected
قرية خاست,قرية جومة,undirected
قرية جومة,خايسار,undirected
سفنجاوى,رباط,undirected
رباط,جنكى,undirected
جنكى,رباط الحجرية,undirected
رباط الحجرية,بنجواى,undirected
بست,داور,undirected
داور,الغور,undirected
زرنج,كركويه,undirected
كركويه,بشتر,undirected
بشتر,جوين,undirected
جوين,بستك,undirected
بستك,كنجر,undirected
كنجر,سرشك,undirected
سرشك,وادي فره,undirected
وادي فره,فره,undirected
فره,دره,undirected
دره,كوستان,undirected
كوستان,جاشان,undirected
جاشان,قناة سرى,undirected
قناة سرى,الجبل الأسود,undirected
الجبل الأسود,جامان,undirected
جامان,هراة,undirected
زرنج,زانبوق,undirected
زانبوق,سروزن,undirected
سروزن,حروري,undirected
حروري,دهك,undirected
دهك,رباط كرودين,undirected
رباط كرودين,رباط قهستان,undirected
رباط قهستان,رباط عبد الله,undirected
رباط عبد الله,بست,undirected
زرنج,جزه,undirected
جزه,فره,undirected
جزه,القرنين,undirected
فره,نه,undirected
زرنج,الطاق,undirected
زرنج,كش,undirected
قاين,تون,undirected
قاين,ينابد,undirected
ينابد,كندر,undirected
كندر,طرثيث,undirected
ينابد,سنكان,undirected
سنكان,جايمن,undirected
سنكان,مالن كواخرز,undirected
مالن كواخرز,بوزجان,undirected
بوزجان,الملاحة,undirected
الملاحة,القصر,undirected
نيسابور,بيسكند,undirected
بيسكند,حسيناباذ,undirected
حسيناباذ,خسروجرد,undirected
خسروجرد,النوق,undirected
خسروجرد,يحيى اباذ,undirected
يحيى اباذ,مزينان,undirected
يحيى اباذ,بهمن اباذ,undirected
النوق,مزينان,undirected
النوق,بهمن اباذ,undirected
مزينان,أسداباذ,undirected
بهمن اباذ,أسداباذ,undirected
أسداباذ,هفدر,undirected
نيسابور,قصر الريح,undirected
قصر الريح,الرمادة,undirected
الرمادة,صاهه,undirected
صاهه,مزدوران,undirected
مزدوران,اوكينة,undirected
اوكينة,سرخس,undirected
قصر الريح,فرهاكرد,undirected
فرهاكرد,نوكده,undirected
نوكده,مالايكرد,undirected
مالايكرد,بوزجان,undirected
بوزجان,كلنا,undirected
كلنا,البق,undirected
البق,امده,undirected
امده,هراة,undirected
القصر,الملاحة,undirected
الملاحة,سنكان,undirected
سنكان,ينابد,undirected
نيسابور,كلكاو,undirected
كلكاو,الدارين,undirected
الدارين,نمخكن,undirected
نمخكن,ريك,undirected
ريك,فرخان,undirected
فرخان,بردر,undirected
بردر,بغداو,undirected
بغداو,نسا,undirected
دزاوند,حويران,undirected
حويران,قلميهن,undirected
قلميهن,أبيورد,undirected
قلميهن,كوفن,undirected
كوفى,أبيورد,undirected
نيسابور,بغيشن,undirected
بغيشن,القرية الحمراء,undirected
القرية الحمراء,المشهد,undirected
المشهد,طابران,undirected
نيسابور,نشديغن,undirected
نيسابور,ريوند,undirected
ريوند,مهرجان,undirected
مهرجان,أسفراين,undirected
الدامغان,الحدادة,undirected
الحدادة,بدش,undirected
بدش,مرجان,undirected
مرجان,هفدر,undirected
هفدر,أسداباذ,undirected
الدامغان,جرمجوى,undirected
جرمجوى,رباط علياباذ,undirected
رباط علياباذ,سمنان,undirected
سمنان,راس الكلب,undirected
راس الكلب,قرية الملح,undirected
قرية الملح,خوار الرى,undirected
الحدادة,بسطام,undirected
زرداباذ,خرماروذ,undirected
خرماروذ,جهينة,undirected
جهينة,جرجان,undirected
أسداباذ,طرثيث,undirected
جرجان,دينازارى,undirected
دينازارى,املوتا,undirected
املوتا,اجغ,undirected
اجغ,سبداست,undirected
سبداست,أسفراين,undirected
أسفراين,آبسكون,undirected
أسفراين,آبسكون,undirected
أسفراين,رباط علي,undirected
رباط علي,رباط الأمير,undirected
رباط الأمير,بيلمك,undirected
بيلمك,رباط دهستان,undirected
آمل,بلور,undirected
بلور,اسك,undirected
اسك,بامهر,undirected
بامهر,برزيان,undirected
برزيان,الرى,undirected
آمل,مامطير,undirected
مامطير,سارية,undirected
سارية,ابارست,undirected
ابارست,ابادان,undirected
ابادان,طميسة,undirected
طميسة,أستراباذ,undirected
أستراباذ,جرجان,undirected
جرجان,الديلمان,undirected
الديلمان,أردبيل,undirected
آبسكون,أستراباذ,undirected
أستراباذ,سارية,undirected
آمل,ناتل,undirected
ناتل,سالوس,undirected
سالوس,كلار,undirected
كلار,جبال الديلم,undirected
سالوس,إسبيدروذ,undirected
إسبيدروذ,قرية الرصد,undirected
قرية الرصد,خشم,undirected
خشم,بيلمان,undirected
بيلمان,الدولاب,undirected
الدولاب,كهن روذ,undirected
كهن روذ,موغكان,undirected
موغكان,الكر,undirected
الكر,هشتاذر,undirected
هشتاذر,الشماخية,undirected
برذعة,يونان,undirected
برذعة,برديج,undirected
برذعة,جنزة,undirected
برذعة,قلقاطوس,undirected
يونان,البيلقان,undirected
البيلقان,ورثان,undirected
ورثان,تلخاب,undirected
تلخاب,برزند,undirected
برزند,أردبيل,undirected
برديج,الشماخية,undirected
الشماخية,شروان,undirected
شروان,الابخان,undirected
الابخان,جسر سمور,undirected
جسر سمور,باب الأبواب,undirected
جنزة,شمكور,undirected
شمكور,خنان,undirected
خنان,قلعة ابن كندمان,undirected
قلعة ابن كندمان,تفليس,undirected
قلقاطوس,متريس,undirected
متريس,دميس,undirected
دميس,كيلكونى,undirected
دبيل,نشوى,undirected
نشوى,خوى,undirected
خوى,سلماس,undirected
سلماس,أرمية,undirected
أرمية,خرقان,undirected
خرقان,مراغة,undirected
مراغة,أردبيل,undirected
مراغة,قندرية,undirected
قلعة الحسن بن علي,شهرزور,undirected
مراغة,نورين,undirected
خوى,قلعة يونس,undirected
قلعة يونس,قرية العصبيات,undirected
تفليس,تبلا,undirected
تبلا,شكى,undirected
شكى,لكزان,undirected
لكزان,الباب,undirected
مراغة,الخرقان,undirected
الخرقان,تبريز,undirected
تبريز,مرند,undirected
أردبيل,النير,undirected
النير,سراة,undirected
سراة,كولسره,undirected
كولسره,مراغة,undirected
مراغة,خره روذ,undirected
خره روذ,موسى آباذ,undirected
موسى آباذ,برزة,undirected
برزة,تفليس,undirected
بريدا,جابروان,undirected
جابروان,نريز,undirected
نريز,أرومية,undirected
مرند,النشوى,undirected
النشوى,دبيل,undirected
مراغة,سابرخاست,undirected
سابرخاست,برزة,undirected
برزة,البيلقان,undirected
البيلقان,سيسر,undirected
سيسر,تل وان,undirected
تل وان,الخبارجان,undirected
الخبارجان,الدينور,undirected
أردبيل,الميانج,undirected
نوى,زنجان,undirected
الميانج,خونج,undirected
خونج,كولسره,undirected
كولسره,مراغة,undirected
مراغة,خرقان,undirected
مراغة,أرمية,undirected
خرقان,سلماس,undirected
أرمية,سلماس,undirected
سلماس,خوى,undirected
خوى,بركرى,undirected
بركرى,أرجيش,undirected
أرجيش,أخلاط,undirected
أرجيش,بدليس,undirected
بدليس,آمد,undirected
بدليس,ميافارقين,undirected
مراغة,الدينور,undirected
برقوى,ملازكرد,undirected
ملازكرد,أرزن,undirected
أرزن,آمد,undirected
الرى,كيلين,undirected
كيلين,كيس,undirected
كيس,الخوار,undirected
الرى,قسطان,undirected
قسطان,مشكويه,undirected
مشكويه,ودروه,undirected
ودروه,ساوة,undirected
ساوة,سونقين,undirected
سونقين,المصدقان,undirected
المصدقان,الروذة,undirected
الروذة,الدكان,undirected
همذان,بوزنجرد,undirected
بوزنجرد,قرية الجن,undirected
قرية الجن,الدكان,undirected
همذان,أسداواذ,undirected
أسداواذ,قصر اللصوص,undirected
قصر اللصوص,قنطرة النعمان,undirected
قنطرة النعمان,جبل بيستون,undirected
جبل بيستون,قرماسين,undirected
قرماسين,قصر عمرو,undirected
قصر عمرو,الزبيدية,undirected
الزبيدية,طزر,undirected
طزر,المرج,undirected
طزر,حلوان,undirected
كرج,سواد مقولة,undirected
سواد مقولة,خوزن,undirected
خوزن,برزانيان,undirected
برزانيان,آوه,undirected
آوه,قرية جرا,undirected
قرية جرا,رباط جرا,undirected
رباط جرا,ورامين,undirected
ورامين,كسكانة,undirected
كسكانة,الرى,undirected
كرج,وفراوندة,undirected
وفراوندة,دارقان,undirected
دارقان,خروذ,undirected
خروذ,سابرخواس,undirected
سابرخواس,كركويش,undirected
كركويش,الخان,undirected
الخان,رزمانان,undirected
رزمانان,اللور,undirected
قصر اللصوص,كير حراس,undirected
كير حراس,نهاوند,undirected
همذان,الديمر,undirected
الديمر,راكاه,undirected
راكاه,نهاوند,undirected
نهاوند,راكاه,undirected
راكاه,جوراب,undirected
جوراب,الكرج,undirected
همذان,طاق سعيد,undirected
طاق سعيد,جوراب,undirected
الكرج,جراناباذ,undirected
جراناباذ,ابتعه,undirected
ابتعه,جرباذقان,undirected
جرباذقان,قنوان,undirected
قنوان,مرج وزهر,undirected
مرج وزهر,الماريين,undirected
الماريين,ازميران,undirected
ازميران,اليهودية,undirected
السوس,قرقوب,undirected
قرقوب,الطيب,undirected
السوس,بصنا,undirected
بصنا,البذان,undirected
جنديسابور,اللور,undirected
اللور,الدز,undirected
الدز,رايكان,undirected
رايكان,كلبايكان,undirected
كلبايكان,كرج ابى دلف,undirected
تستر,قرية الرمل,undirected
قرية الرمل,بصنا,undirected
العسكر,تستر,undirected
العسكر,الأهواز,undirected
جنديسابور,السوس,undirected
جنديسابور,تستر,undirected
بيروت,السوس,undirected
بيروت,البذان,undirected
الأهواز,شوراب,undirected
شوراب,مندم,undirected
مندم,قصبة الدورق,undirected
الأهواز,سوق الأربعاء,undirected
سوق الأربعاء,حصن مهدى,undirected
حصن مهدى,فم العضدى,undirected
حصن مهدى,بيان,undirected
الأهواز,أجم,undirected
أجم,آزر,undirected
آزر,رامهرمز,undirected
الأهواز,الدورق,undirected
الدورق,خان,undirected
خان,بصنا,undirected
بصنا,قرية الرمل,undirected
قرية الرمل,قرقوب,undirected
الأهواز,نهر تيري,undirected
نهر تيري,نهر العباس,undirected
نهر العباس,الخوزية,undirected
الخوزية,الأبلة,undirected
الأهواز,الاسحاقية,undirected
الاسحاقية,الجسر المحترق,undirected
الجسر المحترق,حصن مهدى,undirected
نهر العباس,عسكر ابى جعفر,undirected
رامهرمز,سنبل,undirected
سنبل,أرجان,undirected
رامهرمز,تيرم,undirected
تيرم,غروة,undirected
غروة,البازير,undirected
البازير,إيذج,undirected
إيذج,الدز,undirected
الدز,الدولاب,undirected
رامهرمز,الزط,undirected
رامهرمز,بده,undirected
بده,جسر جهنم,undirected
ارجان,ريشهر,undirected
ريشهر,مهربان,undirected
ارجان,بسابك,undirected
بسابك,دهليزان,undirected
دهليزان,خابران,undirected
خابران,وادي الملح,undirected
وادي الملح,رامهرمز,undirected
ارجان,الزيتون,undirected
الزيتون,حبس,undirected
حبس,بندق,undirected
بندق,جنبد,undirected
بندق,جنبد,undirected
جنبد,زنك,undirected
زنك,دخويذ,undirected
دخويذ,خواذان,undirected
خواذان,النوبندجان,undirected
ارجان,كنيسة المجوس,undirected
كنيسة المجوس,قرية,undirected
قرية,الزيز,undirected
الزيز,العينية,undirected
العينية,النهر,undirected
النهر,خرندة,undirected
خرندة,سميرم,undirected
مهربان,سينيز,undirected
مهربان,النهر,undirected
النهر,ارجان,undirected
سينيز,سنجاهان,undirected
سنجاهان,جنابة,undirected
جنابة,دشت داودي,undirected
دشت داودي,توز,undirected
توز,خشت,undirected
خشت,نيماراه,undirected
نيماراه,سابور,undirected
سيراف,جم,undirected
جم,برزرة,undirected
برزرة,كيرند,undirected
كيرند,مه,undirected
مه,رايكان,undirected
رايكان,بيابشوراب,undirected
بيابشوراب,جور,undirected
سيراف,عمان,undirected
سيراف,البصرة,undirected
سيراف,البحرين,undirected
درابجرد,خسو,undirected
خسو,كرب,undirected
كرب,جويم ابى احمد,undirected
جويم ابى احمد,كاريان,undirected
كاريان,باراب,undirected
باراب,كران,undirected
كران,سيراف,undirected
درابجرد,جرموا,undirected
جرموا,رستاق الرستاق,undirected
رستاق الرستاق,برك,undirected
برك,تارم,undirected
درابجرد,جاه زندايا,undirected
جاه زندايا,تيمارستان,undirected
تيمارستان,فسا,undirected
شيراز,كفره,undirected
كفره,كول,undirected
كول,بومهان,undirected
بومهان,جور,undirected
شيراز,قرية جويم,undirected
قرية جويم,خلار,undirected
خلار,الخرارة,undirected
الخرارة,جركان,undirected
جركان,النوبندجان,undirected
شيراز,قرية الرمان,undirected
قرية الرمان,سروستان,undirected
سروستان,كرم,undirected
كرم,فسا,undirected
شيراز,داريان,undirected
داريان,خرمة,undirected
خرمة,كث,undirected
كث,خير,undirected
خير,نيريز,undirected
نيريز,كدروا,undirected
كدروا,رباط زرودوا,undirected
رباط زرودوا,نهر من,undirected
نهر من,هنته,undirected
هنته,بيمند,undirected
بيمند,السيرجان,undirected
شيراز,ركان,undirected
ركان,راس السكر,undirected
راس السكر,زياداباذ,undirected
زياداباذ,جب أمير المؤمنين,undirected
جب أمير المؤمنين,راس الدنيا,undirected
شيراز,صاهه,undirected
صاهه,دشت أرزن,undirected
فسا,كارزين,undirected
كارزين,هرمز,undirected
كارزين,خارزين,undirected
شيراز,كثة,undirected
شيراز,تارم,undirected
شيراز,نجيرم,undirected
شيراز,نهر طاب,undirected
شيراز,سينيز,undirected
شيراز,الروذان,undirected
شيراز,سورو,undirected
شيراز,أصفهان,undirected
سابور,شيراز,undirected
كازرون,شيراز,undirected
خره,شيراز,undirected
جور,شيراز,undirected
سابور,كازرون,undirected
كازرون,خره,undirected
سابور,النوبندجان,undirected
سابور,كرك,undirected
كرك,دشت ارزن,undirected
كازرون,قرية الحطب,undirected
قرية الحطب,دشت ارزن,undirected
كازرون,دريز,undirected
دريز,راس العقبة,undirected
راس العقبة,توز,undirected
توز,قرية,undirected
قرية,جنابة,undirected
إصطخر,راس السكر,undirected
إصطخر,البيضاء,undirected
إصطخر,قرية الحمام,undirected
قرية الحمام,زيادواذ,undirected
زيادواذ,جب أمير المؤمنين,undirected
جب أمير المؤمنين,هراة,undirected
هراة,راذان,undirected
راذان,شاباوك,undirected
شاباوك,روار,undirected
روار,قرية الجمال,undirected
قرية الجمال,الروذان,undirected
إصطخر,بئر,undirected
بئر,كهمندة,undirected
كهمندة,قرية بيذ,undirected
قرية بيذ,أبرقوه,undirected
أبرقوه,قرية الأسد,undirected
قرية الأسد,الأرد,undirected
الأرد,قلعة المجوس,undirected
قلعة المجوس,كثة,undirected
كثة,أنجيره,undirected
اليهودية,خان رش,undirected
خان رش,قومسة,undirected
قومسة,كرو,undirected
كرو,سميرم,undirected
اليهودية,الخان حان لنجان,undirected
الخان حان لنجان,كرو,undirected
كرو,ماس,undirected
ماس,خان روشن,undirected
خان روشن,إصطخران,undirected
إصطخران,قصر أعين,undirected
قصر أعين,خوسكان,undirected
خوسكان,ماءين,undirected
ماءين,أزر سابور,undirected
أزر سابور,شيراز,undirected
قومسة,روزكان,undirected
روزكان,ازكاس,undirected
ازكاس,سروستان,undirected
سروستان,سرمسه,undirected
سرمسه,لاه وكره,undirected
لاه وكره,قرية الخلاف,undirected
قرية الخلاف,كماهنك,undirected
كماهنك,قرية ابن بندار,undirected
قرية ابن بندار,إصطخر,undirected
سميرم,جعفرآباذ,undirected
جعفرآباذ,الزاب,undirected
الزاب,كورد وكلار,undirected
كورد وكلار,مهرجاناواذ,undirected
مهرجاناواذ,اش وبورد,undirected
اش وبورد,نسا,undirected
نسا,شيراز,undirected
اليهودية,خالنجان,undirected
خالنجان,باركان,undirected
باركان,أسبيذدشت,undirected
أسبيذدشت,جعاد وجورد,undirected
جعاد وجورد,الرباط,undirected
الرباط,كورستان,undirected
كورستان,جسر جهنم,undirected
بردسير,السيرجان,undirected
بردسير,جنزروذ,undirected
جنزروذ,زرند,undirected
نرماسير,الفهرج,undirected
نرماسير,جوى سليمان,undirected
جوى سليمان,ريكان,undirected
ريكان,موخكان,undirected
موخكان,الطيب,undirected
الطيب,مروغان,undirected
مروغان,باس وجكين,undirected
باس وجكين,هروك,undirected
هروك,قصر مهدى,undirected
قصر مهدى,هرموز,undirected
هرموز,الفرضة,undirected
السيرجان,كاهون,undirected
كاهون,رستاق الرستاق,undirected
السيرجان,بيمند,undirected
بيمند,كردكان,undirected
كردكان,أناس,undirected
أناس,الروذان,undirected
السيرجان,الشامات,undirected
الشامات,بهار,undirected
بهار,خناب,undirected
خناب,غبيرا,undirected
غبيرا,كوغون,undirected
كوغون,رائين,undirected
رائين,سروستان,undirected
سروستان,دارجين,undirected
دارجين,بم,undirected
السيرجان,فرزين,undirected
فرزين,ماهان,undirected
ماهان,خبيص,undirected
بم,نرماسير,undirected
بم,دارجين,undirected
دارجين,هرمز,undirected
هرمز,جيرفت,undirected
تيز مكران,كيس,undirected
كيس,فنزبور,undirected
فنزبور,دزك,undirected
دزك,راسك,undirected
راسك,فهل فهرة,undirected
فهل فهرة,اصفقة,undirected
اصفقة,بند,undirected
بند,به,undirected
به,قصرقند,undirected
قصرقند,ارمابيل,undirected
ارمابيل,ديبل,undirected
التيز,قصدار,undirected
المنصورة,ديبل,undirected
المنصورة,الملتان,undirected
المنصورة,البدهة,undirected
البدهة,التيز,undirected
الملتان,غزنين,undirected
الملتان,المنصورة,undirected
المنصورة,قزدار,undirected
قزدار,كنكابان,undirected
كنكابان,سيوه,undirected
سيوه,ولا شتان,undirected
ولا شتان,ساغن,undirected
ساغن,غزنين,undirected
قزدار,مشكى,undirected
مشكى,جالق,undirected
جالق,خواص,undirected
خواص,سرى شهر,undirected
سرى شهر,نهر سليمان,undirected
نهر سليمان,درهفان,undirected
درهفان,جيرفت,undirected
الملتان,بالس,undirected
بالس,قندابيل,undirected
قندابيل,قصدار,undirected
قندابيل,المنصورة,undirected
قندابيل,الملتان,undirected
المنصورة,قامهل,undirected
قامهل,كنباية,undirected
كنباية,سوبارة,undirected
سندان,سيمور,undirected
سيمور,سرنديب,undirected
الملتان,بسمد,undirected
بسمد,الرور,undirected
الرور,انرى,undirected
انرى,قلرى,undirected
قلرى,المنصورة,undirected
المنصورة,قامهل,undirected
