node_without_coord,nearest_coords
أرمية,"[['SALAMAS_448E382N_S', 1], ['KHUWI_449E385N_S', 2]]"
عميان,"[['ZARQA_360E320N_S', 1], ['MAAB_357E312N_S', 1]]"
زردوخ بريدا,"[['KARDARANKHAS_606E413N_S', 1], ['HAZARASB_610E412N_S', 1]]"
دشت داودي,"[['TUZ_422E267N_S', 1], ['JANNABA_505E296N_S', 1]]"
رباط الاوقل,"[['RIBATSARAB_663E318N_S', 1], ['KHAYSAR_673E324N_S', 2]]"
جبل,"[['NUMANIYYA_454E325N_S', 1], ['NAHRSABUS_459E324N_S', 1]]"
رباط كشر,"[['BANJAWAY_654E315N_S', 1], ['RIBATHAJARIYYA_658E313N_S', 2]]"
نسا,"[['BAGHDAD_443E333N_S', 1], ['SHIRAZ_525E296N_S', 1]]"
أسداواذ,"[['QASRLUSUS_479E344N_S', 1], ['HAFDAR_561E363N_S', 1]]"
قصر الدرق,"[['BARJAMT_116E330N_S', 1], ['ATRABULUS_358E344N_S', 2]]"
فلس,"[['TAHIRT_013E353N_R', 1], ['BASRA_058W348N_S', 2]]"
الحارله,"[['AHWAZ_486E313N_R', 2], ['NAHRSABUS_459E324N_S', 2]]"
بستان بنى عامر,"[['MAKKA_398E213N_S', 1], ['DHATIRQ_404E216N_S', 1]]"
سابرخواس,"[['DARAQAN_487E334N_S', 2], ['KARAJ_495E338N_S', 3]]"
تل وان,"[['SISAR_469E353N_S', 1], ['BAYLAQAN_474E398N_S', 2]]"
موضع بغراخاقان,"[['AQABA_251E314N_S', 3], ['KHARAIBABUHALIMA_255E314N_S', 4]]"
كوفن,"[['QALMAYHAN_592E371N_S', 1], ['RADHAKAN_589E368N_S', 2]]"
شاوكرد,"[['BALKH_668E367N_R', 1], ['MADHAR_678E353N_S', 2]]"
دوسنية,"[['QALUNIYAAWFI_384E403N_S', 7], ['SINNNUHAS_416E393N_S', 8]]"
رخشميثن,"[['KHIWAH_603E413N_S', 1], ['DASKAKHANKHAS_599E418N_S', 1]]"
منخوس,"[['RUHBA_364E276N_R', 1], ['DIMASHQ_363E335N_S', 2]]"
راس العقبة,"[['TUZ_422E267N_S', 1], ['DARIZ_515E296N_S', 1]]"
رستاق الرستاق,"[['KAHUN_553E288N_S', 1], ['DARABAJIRD_545E287N_S', 2]]"
نيماراه,"[['KHASHT_639E343N_S', 1], ['SABUR_515E298N_R', 1]]"
ميغون,"[['BANJAWAY_654E315N_S', 2], ['BUST_643E313N_R', 2]]"
مسجد أويس,"[['ARZAN_416E379N_S', 1], ['MADAN_091W386N_S', 1]]"
امده,"[['HARA_621E343N_R', 1], ['RADHAN_547E301N_S', 2]]"
مضيق النهر,"[['RIBATMASH_614E413N_S', 1], ['NABADGHIN_620E407N_S', 1]]"
برقوى,"[['MALAZKIRD_425E391N_S', 1], ['ARZAN_416E379N_S', 2]]"
كوستان,"[['FARAH_620E323N_S', 2], ['NIH_600E315N_S', 3]]"
الجبل الأسود,"[['HARA_621E343N_R', 2], ['RADHAN_547E301N_S', 3]]"
الحفیر,"[['BASRA_058W348N_S', 1], ['KUFA_443E320N_S', 2]]"
ارمسا,"[['DHATHUMAM_293E308N_S', 1], ['HANIYYARUM_288E308N_S', 2]]"
اسناخ,"[['BAMIYAN_678E348N_R', 2], ['KARDIZ_691E336N_S', 3]]"
صداء,"[['SANA_442E153N_S', 1], ['SHIBAM_485E159N_S', 2]]"
أشبورقان,"[['BALKH_668E367N_R', 1], ['FARIYAB_649E364N_S', 1]]"
طاق سعيد,"[['JURAB_489E342N_S', 1], ['HAMADHAN_485E347N_R', 1]]"
قارا,"[['SHAMSIN_367E345N_S', 1], ['NABK_367E340N_S', 2]]"
ولا شتان,"[['KARDIZ_691E336N_S', 3], ['GHAZNA_684E335N_S', 4]]"
غركرد,"[['ISBIJAB_697E422N_R', 1], ['BINKATH_694E412N_S', 1]]"
قرية جرا,"[['AWA_505E346N_S', 1], ['KARAJ_495E338N_S', 2]]"
یثرب,"[['SUWAYDIYYA_359E360N_S', 1], ['BATNNAKHL_400E248N_R', 1]]"
روزوند,"[['NUZWAR_593E420N_S', 1], ['JURJANIYYASUGHRA_593E422N_S', 2]]"
قرنة,"[['BABHADID_670E382N_O', 1], ['KANDAK_667E383N_S', 2]]"
سمیراء,"[['TUZ_422E267N_S', 1], ['HAJIR_417E259N_S', 1]]"
رباط شار,"[['RIBATSHUR_635E350N_S', 1], ['SHURMIN_635E347N_S', 2]]"
برزيان,"[['RAYY_515E356N_S', 1], ['QUSTANA_510E354N_S', 2]]"
آلوسة,"[['FUHAYMA_421E342N_S', 1], ['ANA_419E344N_S', 1]]"
قلرى,"[['MANSURA_688E258N_S', 1], ['DAYBUL_676E244N_S', 2]]"
تماجر,"[['QAYRAWAN_101E357N_S', 1], ['ROUTPOINT1217_101E357N_O', 2]]"
أسبيذدشت,"[['RIBAT_068W339N_S', 2], ['BALKH_668E367N_R', 3]]"
الزاب,"[['JAFARABADH_518E311N_S', 1], ['SUMAYRAM_518E313N_S', 2]]"
صور نحو,"[['JABALLUBNAN_359E341N_O', 1], ['NABULUS_352E322N_S', 2]]"
اوزارمند,"[['DASKAKHANKHAS_599E418N_S', 1], ['WAZARMAND_597E418N_S', 2]]"
الخوزية,"[['UBULLA_478E304N_S', 1], ['BASRA_058W348N_S', 2]]"
نهر الشاش,"[['BANAKATH_688E407N_S', 1], ['KHAWAS_688E402N_S', 1]]"
تاكنست,"[['HALIMAN_222E327N_S', 2], ['BARQA_208E323N_R', 2]]"
جسر شاغر,[]
العسكر,"[['AHWAZ_486E313N_R', 1], ['TUSTAR_488E320N_R', 1]]"
بريدين,"[['NABULUS_352E322N_S', 1], ['ROUTPOINT0113_351E319N_O', 2]]"
طرابلس,"[['DIMASHQ_363E335N_S', 1], ['BAYRUT_355E339N_S', 1]]"
فرخان,"[['BAGHDAD_443E333N_S', 2], ['KARKH_443E333N_S', 3]]"
بئر السلاح,[]
ملحة,"[['DATHINA_458E138N_R', 1], ['QUBA_721E405N_S', 2]]"
كنجر,"[['JUWAYN_616E317N_S', 2], ['FARAH_620E323N_S', 3]]"
خواص,"[['JALQ_626E276N_S', 1], ['KHAWASH_618E277N_S', 2]]"
برسخان الأعلى,"[['AQABA_251E314N_S', 2], ['KHARAIBABUHALIMA_255E314N_S', 3]]"
يعاث,"[['BALABAKK_361E340N_S', 1], ['JUSIYA_365E344N_S', 1]]"
هرمز,"[['JIRUFT_578E286N_S', 1], ['KHABR_563E288N_S', 2]]"
جبل بيستون,"[['QARMASIN_470E343N_S', 1], ['QANTARANUMAN_476E344N_S', 1]]"
ينابد,"[['SANKAN_594E350N_S', 1], ['JAYIMAND_598E350N_S', 2]]"
القرية الحمراء,"[['NAYSABUR_587E361N_R', 2], ['RIWAND_583E361N_S', 3]]"
لكزان,"[['BAB_711E408N_S', 1], ['TURMUGHAN_708E407N_S', 2]]"
سابرخاست,"[['BARZA_462E365N_S', 1], ['MARAGHA_462E373N_S', 1]]"
مالن كواخرز,"[['SANKAN_594E350N_S', 1], ['JAYIMAND_598E350N_S', 2]]"
الشجى,"[['BASRA_058W348N_S', 3], ['KUFA_443E320N_S', 4]]"
شرف ذي النمل,"[['SUGHAR_354E310N_S', 2], ['ARA_355E280N_S', 2]]"
اريحاء,"[['BAYTMAQDIS_352E317N_S', 1], ['NABULUS_352E322N_S', 1]]"
قصر يزيد,"[['ZUBAYDIYYA_469E344N_S', 1], ['MARJ_462E343N_S', 1]]"
أمج,"[['USFAN_394E218N_S', 1], ['KHAYM_395E223N_S', 1]]"
قرية الجن,"[['BUZANJIRD_489E349N_S', 1], ['ZARRA_492E350N_S', 2]]"
قرية الخلاف,"[['QARYAIBNBUNDAR_530E301N_S', 2], ['ISTAKHR_529E299N_S', 3]]"
جابروان,[]
مروغان,"[['TIB_473E322N_S', 1], ['SIKR_467E321N_S', 2]]"
عقبة الشهداء,"[['QALUNIYAAWFI_384E403N_S', 2], ['SINNNUHAS_416E393N_S', 3]]"
رباطروذ,"[['RIBATKARZWAN_638E356N_S', 2], ['TALAQAN_642E357N_S', 3]]"
زامين,"[['SAMARQAND_670E396N_S', 1], ['KHAWAS_688E402N_S', 1]]"
الشقور,"[['BASRA_058W348N_S', 1], ['KUFA_443E320N_S', 2]]"
سفا,"[['BUMINA_297E309N_S', 1], ['DHATHUMAM_293E308N_S', 2]]"
المونسة,"[['NASIBIN_412E370N_S', 1], ['ADHRAMA_417E369N_S', 1]]"
عجلة,"[['NAZWA_575E228N_S', 1], ['SIRR_568E230N_S', 2]]"
دزاوند,"[['QALMAYHAN_592E371N_S', 2], ['RADHAKAN_589E368N_S', 3]]"
فيق,"[['TABARIYYA_355E327N_S', 1], ['JASIM_360E329N_S', 1]]"
مجانة,"[['DUFANA_066E354N_S', 1], ['TUBNA_053E353N_S', 1]]"
برديج,"[['BARDHAA_472E404N_S', 1], ['ROUTPOINT1612_471E405N_O', 2]]"
الزيز,"[['RISHAHR_502E303N_S', 3], ['ZAYTUN_503E305N_S', 3]]"
المنزل,"[['SUGHAR_354E310N_S', 2], ['MAAB_357E312N_S', 3]]"
مزداخقان,"[['KARDAR_597E428N_S', 2], ['MAZDAKHKAN_595E423N_S', 3]]"
خرسان,"[['RIBATSARAB_663E318N_S', 1], ['KHAYSAR_673E324N_S', 2]]"
جزيرة بنى زغناى,"[['TANAS_013E364N_S', 1], ['TABARQA_088E369N_S', 2]]"
كاث,"[['GHARDAMAN_603E418N_S', 1], ['SHURAKHAN_609E415N_S', 1]]"
عين الحجر,"[['BALABAKK_361E340N_S', 1], ['QARUN_357E335N_S', 1]]"
له,"[['FARAH_620E323N_S', 1], ['NIH_600E315N_S', 2]]"
بيلمان,"[['KHASHM_491E374N_S', 1], ['KUHANRUDH_490E377N_S', 2]]"
زياداباذ,"[['RASSIKR_528E297N_S', 1], ['ISTAKHR_529E299N_S', 2]]"
البحرين,"[['SIRAF_523E276N_S', 1], ['KURAN_528E277N_S', 2]]"
وادي الملح,"[['KHABARAN_498E309N_S', 1], ['BADAH_499E312N_S', 2]]"
الجب,"[['BUWAYB_315E301N_S', 1], ['JUBBAMIRA_313E301N_O', 2]]"
یحصب,"[['SUHUL_440E141N_R', 1], ['DHIMAR_443E145N_S', 1]]"
دار ملول,"[['TUBNA_053E353N_S', 1], ['DUFANA_066E354N_S', 2]]"
نهر العباس,"[['AHWAZ_486E313N_R', 2], ['UBULLA_478E304N_S', 2]]"
الديمر,"[['RAKAH_485E344N_S', 1], ['HAMADHAN_485E347N_R', 1]]"
مدین,"[['ARA_355E280N_S', 1], ['MADYANSHUAYB_350E284N_S', 2]]"
باراب سار,"[['WAYKHAN_601E420N_S', 2], ['GHARDAMAN_603E418N_S', 3]]"
سبداست,"[['AJGH_569E375N_S', 1], ['ASFARAYIN_574E369N_S', 1]]"
خير,"[['NAYRIZ_542E292N_R', 1], ['KATH_607E417N_S', 1]]"
لاه وكره,"[['KURM_536E290N_S', 3], ['QARYARUMMAN_528E293N_S', 3]]"
ضریة,"[['JADILA_429E240N_S', 1], ['TIKHFA_430E249N_S', 1]]"
بردر,"[['BAGHDAD_443E333N_S', 1], ['KARKH_443E333N_S', 2]]"
العونید,[]
روار,"[['RUDHAN_560E303N_S', 2], ['RADHAN_547E301N_S', 2]]"
جامان,"[['HARA_621E343N_R', 1], ['RADHAN_547E301N_S', 2]]"
بدش,"[['MURJAN_556E363N_S', 1], ['HADDADA_548E362N_S', 1]]"
شغب,"[['ARA_355E280N_S', 2], ['MADYANSHUAYB_350E284N_S', 3]]"
أناس,"[['RUDHAN_560E303N_S', 1], ['KURDAKAN_556E297N_S', 1]]"
البنك,"[['QUTAYYIFA_366E337N_S', 1], ['NABK_367E340N_S', 2]]"
قرية العصبيات,"[['KHUWI_449E385N_S', 2], ['BARKARI_437E389N_S', 3]]"
قرین,"[['MAKKA_398E213N_S', 1], ['JUDDA_391E214N_S', 1]]"
كهن روذ,"[['DIZ_484E329N_S', 2], ['IDHAJ_498E318N_S', 3]]"
الثعلبیة,[]
ذات السلاسل,"[['FUSTAT_312E300N_S', 1], ['TARNUT_308E304N_S', 1]]"
طريثيث,"[['KUNDUR_581E351N_S', 1], ['YUNABIDH_586E342N_S', 2]]"
بئر,"[['ISTAKHR_529E299N_S', 1], ['KAHAMANDA_531E302N_S', 1]]"
سرمسه,"[['KURM_536E290N_S', 2], ['QARYARUMMAN_528E293N_S', 2]]"
جبال الديلم,"[['KALLAR_519E307N_S', 1], ['KURD_519E306N_S', 2]]"
خرماروذ,"[['ZIRADABADH_553E366N_S', 1], ['SHAHRASTAN_552E371N_S', 2]]"
آستانة,"[['FARIYAB_649E364N_S', 1], ['RIBATASTANA_649E366N_S', 2]]"
بومهان,"[['JUR_525E288N_S', 1], ['KUWAR_526E292N_S', 2]]"
جويم ابى احمد,"[['KARB_542E282N_S', 1], ['KARYAN_537E280N_S', 1]]"
رامهرمز,"[['BADAH_499E312N_S', 1], ['TIRAM_498E313N_S', 1]]"
السرحتین,"[['QURH_379E265N_S', 2], ['HIJRSALIH_379E268N_S', 3]]"
كورستان,"[['RIBAT_068W339N_S', 1], ['JISRJAHANNAM_502E314N_S', 1]]"
غرفة,"[['SADA_437E169N_S', 1], ['AMASHIYYA_439E165N_S', 2]]"
جبل طارق,"[['MALIQA_044W367N_S', 1], ['BAJJANA_024W369N_S', 2]]"
نهر من,"[['BIMAND_555E296N_S', 2], ['KADRUWA_546E291N_S', 2]]"
بلد روب,"[['QASRATISH_181E305N_S', 2], ['SULUQ_202E314N_S', 2]]"
المسدودة,"[['DIMASHQ_363E335N_S', 2], ['BAYRUT_355E339N_S', 2]]"
شرف الصلا,"[['NABK_367E340N_S', 1], ['QARA_368E341N_S', 2]]"
الندامة,"[['BARQA_208E323N_R', 1], ['HALIMAN_222E327N_S', 3]]"
فید,"[['AJFUR_429E274N_S', 1], ['TUZ_422E267N_S', 1]]"
جعاد وجورد,"[['RIBAT_068W339N_S', 1], ['BALKH_668E367N_R', 2]]"
يثرب,"[['RUWAYTHA_392E240N_S', 1], ['RAWHA_392E241N_S', 2]]"
على اليمين,"[['NUBAGH_598E422N_S', 1], ['MAZDAKHKAN_595E423N_S', 2]]"
بئر الجمالين,"[['ATRABULUS_358E344N_S', 1], ['ANAFA_357E343N_S', 2]]"
جيحون,"[['AMUL_635E390N_S', 1], ['FIRABR_636E391N_S', 1]]"
معدن بنى سليم,"[['SALILA_412E243N_S', 1], ['AMQ_364E363N_S', 2]]"
قرية القاضي,"[['SHURMIN_635E347N_S', 1], ['QARYAMAJUS_541E317N_S', 2]]"
مسجد إبراهيم,"[['BAYTMAQDIS_352E317N_S', 1], ['RAMLA_348E319N_S', 1]]"
أوفه,"[['KHASHT_639E343N_S', 1], ['MARABADH_630E343N_S', 1]]"
طميسة,"[['ABASKUN_540E370N_S', 2], ['SARIYA_531E365N_S', 2]]"
سيمور,"[['SARANDIB_808E076N_R', 1], ['SANDAN_730E199N_S', 1]]"
سنبل,[]
وادي فره,"[['FARAH_620E323N_S', 1], ['NIH_600E315N_S', 2]]"
خرائب ابى حليمة,"[['AQABA_251E314N_S', 1], ['KHIRBAQAWM_261E313N_S', 1]]"
موخكان,"[['TIB_473E322N_S', 1], ['SIKR_467E321N_S', 2]]"
خره روذ,"[['MARAGHA_462E373N_S', 1], ['ROUTPOINT1608_458E375N_O', 2]]"
أرجان,[]
كارزين,"[['FASA_536E289N_S', 1], ['KURM_536E290N_S', 2]]"
رباط جكربند,"[['RIBATTUGHAN_628E401N_S', 1], ['RIBATHASAN_622E405N_S', 1]]"
الراس العین,"[['MARWA_385E257N_S', 1], ['RASAYN_380E250N_S', 2]]"
ديمس,"[['TAWAWIS_647E400N_S', 1], ['BAYKAND_640E395N_S', 2]]"
مليتية,"[['BARQA_208E323N_R', 1], ['SULUQ_202E314N_S', 3]]"
تيمارستان,"[['FASA_536E289N_S', 1], ['KURM_536E290N_S', 2]]"
رباط زرودوا,"[['KADRUWA_546E291N_S', 1], ['NAYRIZ_542E292N_R', 2]]"
الخان,"[['LUR_483E325N_R', 2], ['JUNDAYSABUR_485E322N_R', 3]]"
فنزبور,"[['DIZAK_622E273N_S', 1], ['KHAWASH_618E277N_S', 2]]"
ینبع,"[['BADR_447E138N_R', 1], ['MARWA_385E257N_S', 2]]"
قرية الجمال,"[['RUDHAN_560E303N_S', 1], ['DIHUSHTURAN_557E303N_S', 2]]"
كولسره,"[['KHUNAJ_472E373N_S', 1], ['MARAGHA_462E373N_S', 1]]"
أنقرة,[]
قرية الرمل,"[['BASINNA_483E319N_S', 1], ['TUSTAR_488E320N_R', 1]]"
الأفلاغونية,"[['QALUNIYAAWFI_384E403N_S', 3], ['SINNNUHAS_416E393N_S', 4]]"
قصر الفيل,"[['BARQA_208E323N_R', 2], ['SULUQ_202E314N_S', 2]]"
سواد مقولة,"[['KARAJ_495E338N_R', 1], ['JURAB_489E342N_S', 2]]"
ملعب الملك,[]
سقيا بنى غفار,"[['ABWA_390E232N_S', 1], ['ARJ_392E238N_O', 1]]"
أبین,"[['ADAN_450E127N_S', 1], ['LAHJ_448E130N_S', 2]]"
الصفصاف,"[['ARIQA_437E173N_S', 1], ['MAHJARA_435E176N_S', 2]]"
بدوخكث,"[['TAMTAJ_705E425N_S', 1], ['ISBIJAB_697E422N_R', 2]]"
سرشك,"[['FARAH_620E323N_S', 2], ['NIH_600E315N_S', 3]]"
السوس الأدنى,"[['TAHIRT_013E353N_R', 3], ['BASRA_058W348N_S', 4]]"
قنى غياث,"[['RIBATAFRIGHUN_652E372N_S', 1], ['QABRGHIYATH_653E375N_S', 2]]"
ساباط,"[['KHUJANDA_696E402N_S', 2], ['SAMARQAND_670E396N_S', 2]]"
ویلة,"[['SALA_354E278N_S', 2]]"
ابارست,"[['SARIYA_531E365N_S', 1], ['SHIHMAR_528E361N_S', 2]]"
إسبيدروذ,"[['KALLAR_519E307N_S', 2], ['NATIL_519E364N_S', 2]]"
جب سعيد,"[['RIBATATIQ_650E394N_S', 1], ['BAZDA_654E390N_S', 1]]"
الكلاية,"[['SHAWAGHAR_683E432N_S', 2], ['TAMTAJ_705E425N_S', 3]]"
برزرة,"[['KIRAND_523E284N_S', 1], ['JAMM_523E278N_S', 1]]"
سمندو,[]
بئر ابن المرتفع,"[['MAKKA_398E213N_S', 1], ['QARN_402E214N_S', 1]]"
خوار الرى,"[['QARYAMILH_526E352N_S', 1], ['RASKALB_530E353N_S', 2]]"
أرومية,[]
سرى شهر,"[['JALQ_626E276N_S', 2], ['KHAWASH_618E277N_S', 3]]"
السوس الأقصى,"[['TAHIRT_013E353N_R', 2], ['BASRA_058W348N_S', 3]]"
ذات العشر,"[['BASRA_058W348N_S', 6], ['KUFA_443E320N_S', 7]]"
مرجهينة,"[['HADITHA_433E360N_S', 1], ['MAWSIL_431E363N_S', 1]]"
ريك,"[['BAGHDAD_443E333N_S', 3], ['KARKH_443E333N_S', 4]]"
باحمشا,"[['QADISIYYA_441E316N_S', 1], ['UKBARA_442E338N_S', 1]]"
كلبايكان,"[['RAYKAN_526E285N_S', 1], ['KIRAND_523E284N_S', 2]]"
أندرابة,"[['SIMINJAN_680E362N_S', 1], ['BANJAHIR_698E355N_S', 2]]"
حصن صاعس,[]
كفر سلام,"[['RAMLA_348E319N_S', 1], ['BAYTMAQDIS_352E317N_S', 2]]"
الرام,[]
باس وجكين,"[['TIB_473E322N_S', 2], ['HURMUZ_569E270N_S', 3]]"
سونقين,"[['MASDAQAN_498E350N_S', 1], ['SAWA_504E349N_S', 1]]"
أرذخيوه,"[['WAYKHAN_601E420N_S', 1], ['GHARDAMAN_603E418N_S', 2]]"
غبيرا,"[['KUGHUN_570E296N_S', 1], ['KHANNAB_567E298N_S', 1]]"
يونان,"[['BAYLAQAN_474E398N_S', 1], ['BARDHAA_472E404N_S', 1]]"
دارزنجى,"[['SAGHANIYAN_678E382N_R', 1], ['SAMARQAND_670E396N_S', 2]]"
الصليق,"[['ZUBAYDIYYA_469E344N_S', 2], ['QARMASIN_470E343N_S', 3]]"
منزل ابن بندقة,"[['AJARUD_323E300N_S', 1], ['BUWAYB_315E301N_S', 1]]"
رزمانان,"[['LUR_483E325N_R', 1], ['JUNDAYSABUR_485E322N_R', 2]]"
الخمازية,"[['UBULLA_478E304N_S', 1], ['BASRA_058W348N_S', 2]]"
أمير,"[['RIBATMASH_614E413N_S', 1], ['BAGHIRQAN_612E414N_S', 2]]"
قرية جومة,"[['KHAYSAR_673E324N_S', 1], ['ROUTPOINT1918_679E330N_O', 2]]"
عونید,"[['RUHBA_364E276N_R', 1], ['DIMASHQ_363E335N_S', 2]]"
داور,"[['GHAWR_354E318N_R', 1], ['BUST_643E313N_R', 1]]"
ترمذ,"[['MAHALLAQAYYASIN_668E374N_S', 1], ['BALKH_668E367N_R', 2]]"
كرج ابى دلف,"[['RAYKAN_526E285N_S', 2], ['KIRAND_523E284N_S', 3]]"
الرصد,"[['FAQUS_317E307N_S', 1], ['JURJIR_321E309N_S', 2]]"
بايماب,"[['SAGHANIYAN_678E382N_R', 1], ['SAMARQAND_670E396N_S', 2]]"
مطارة,"[['NAHRSABUS_459E324N_S', 1], ['FAMSILH_461E324N_S', 2]]"
ضبة,"[['RUHBA_364E276N_R', 2], ['DIMASHQ_363E335N_S', 3]]"
منزل,"[['SHAWAGHAR_683E432N_S', 1], ['TAMTAJ_705E425N_S', 2]]"
قورية,"[['MARIDA_063W388N_S', 1], ['BAJA_092E366N_S', 1]]"
قزدار,"[['MASHKA_639E274N_S', 1], ['MANSURA_688E258N_S', 1]]"
الكبس,"[['QAYRAWAN_101E357N_S', 1], ['KATANA_102E336N_S', 1]]"
مروالروذ,"[['TALAQAN_696E367N_S', 2], ['KANJABADH_639E357N_S', 3]]"
سراة,"[['NIR_479E380N_S', 1], ['KHUNAJ_472E373N_S', 2]]"
حويران,"[['QALMAYHAN_592E371N_S', 1], ['RADHAKAN_589E368N_S', 2]]"
الرمانة,"[['ARIQA_437E173N_S', 2], ['MAHJARA_435E176N_S', 3]]"
قيسارية,"[['KAFARSABA_348E321N_S', 1], ['KANISA_349E327N_S', 1]]"
سفنجاوى,"[['RIBAT_068W339N_S', 1], ['BALKH_668E367N_R', 2]]"
جنكى,"[['RIBAT_068W339N_S', 1], ['RIBATHAJARIYYA_658E313N_S', 1]]"
اش وبورد,"[['BAGHDAD_443E333N_S', 2], ['SHIRAZ_525E296N_S', 2]]"
نوزكات,"[['GHARDAMAN_603E418N_S', 3], ['SHURAKHAN_609E415N_S', 3]]"
الفعونية,"[['HISNZIYAD_392E387N_S', 1], ['SHIMSHAT_398E386N_S', 1]]"
نورين,"[['MARAGHA_462E373N_S', 1], ['ROUTPOINT1608_458E375N_O', 2]]"
الینسوعة,"[['QARYATAYN_164E311N_O', 2], ['SURT_166E310N_S', 3]]"
القاع,"[['YAHUDIYYA_648E359N_S', 1], ['KANDARAM_646E353N_S', 2]]"
الزط,[]
