node_without_coord,nearest_coords
عين الحجر,"[['BALABAKK_361E340N_S', 1], ['QARUN_357E335N_S', 1]]"
الدامغان,"[['HADDADA_548E362N_S', 1], ['JARMJUWI_540E359N_S', 1]]"
مهربان,"[['SINIZ_502E299N_S', 1], ['RISHAHR_502E303N_S', 1]]"
كير حراس,"[['NIHAWAND_483E342N_S', 1], ['QASRLUSUS_479E344N_S', 1]]"
كاث,"[['GHARDAMAN_603E418N_S', 1], ['SHURAKHAN_609E415N_S', 1]]"
بئر ابن المرتفع,"[['MAKKA_398E213N_S', 1], ['QARN_402E214N_S', 1]]"
اريحاء,"[['RAMLA_348E319N_S', 1], ['NABULUS_352E322N_S', 1]]"
طبوس,"[['SHIMSHAT_398E386N_S', 1], ['MALATIN_383E383N_S', 1]]"
برزرة,"[['KIRAND_523E284N_S', 1], ['JAMM_523E278N_S', 1]]"
بدش,"[['HADDADA_548E362N_S', 1], ['MURJAN_556E363N_S', 1]]"
أستراباذ,"[['ABASKUN_540E370N_S', 1], ['SARIYA_531E365N_S', 1]]"
شوروخ,"[['RIBATTASH_638E399N_S', 1], ['RAML_631E401N_S', 1]]"
قرية الرمل,"[['BASINNA_483E319N_S', 1], ['QURQUB_477E321N_S', 1]]"
المخلصة,"[['DAYRNASARA_330E311N_S', 1], ['ARISH_045W323N_S', 1]]"
جيحون,"[['FIRABR_636E391N_S', 1], ['AMUL_635E390N_S', 1]]"
طاق سعيد,"[['HAMADHAN_485E347N_R', 1], ['JURAB_489E342N_S', 1]]"
العسكر,"[['AHWAZ_486E313N_R', 1], ['TUSTAR_488E320N_R', 1]]"
دهك,"[['HARURI_623E312N_S', 1], ['RIBATKARUDIN_631E313N_S', 1]]"
ذات السلاسل,"[['TARNUT_308E304N_S', 1], ['FUSTAT_312E300N_S', 1]]"
الناووسة,"[['HIT_428E336N_S', 1], ['ANA_419E344N_S', 1]]"
جب سعيد,"[['BAZDA_654E390N_S', 1], ['RIBATATIQ_650E394N_S', 1]]"
سبداست,"[['AJGH_569E375N_S', 1], ['ASFARAYIN_574E369N_S', 1]]"
زردوخ بريدا,"[['KARDARANKHAS_606E413N_S', 1], ['HAZARASB_610E412N_S', 1]]"
خرائب ابى حليمة,"[['AQABA_251E314N_S', 1], ['KHIRBAQAWM_261E313N_S', 1]]"
مسجد إبراهيم,"[['RAMLA_348E319N_S', 1], ['BAYTMAQDIS_352E317N_S', 1]]"
ناكور,"[['TAHIRT_013E353N_R', 1], ['SIJILMASA_042W312N_R', 1]]"
قسطان,"[['RAYY_515E356N_S', 1], ['MASHKUYA_507E353N_S', 1]]"
مجدل سلم,"[['SUR_352E332N_S', 1], ['BANIYAS_356E332N_S', 1]]"
رخشميثن,"[['DASKAKHANKHAS_599E418N_S', 1], ['KHIWAH_603E413N_S', 1]]"
سالوس,"[['NATIL_519E364N_S', 1], ['KALLAR_519E307N_S', 1]]"
عميان,"[['ZARQA_360E320N_S', 1], ['MAAB_357E312N_S', 1]]"
داور,"[['GHAWR_354E318N_R', 1], ['BUST_643E313N_R', 1]]"
قنوان,"[['MARJWA-ZAHR_509E330N_S', 1], ['JARBADHAQAN_502E333N_S', 1]]"
مرجهينة,"[['MAWSIL_431E363N_S', 1], ['HADITHA_433E360N_S', 1]]"
المدائن,"[['SIB_448E329N_S', 1], ['BAGHDAD_443E333N_S', 1]]"
الديمر,"[['HAMADHAN_485E347N_R', 1], ['RAKAH_485E344N_S', 1]]"
بخارا,"[['BAYKAND_640E395N_S', 1], ['JIKAM_647E395N_S', 1]]"
راس العقبة,"[['TUZ_422E267N_S', 1], ['DARIZ_515E296N_S', 1]]"
غركرد,"[['ISBIJAB_697E422N_R', 1], ['BINKATH_694E412N_S', 1]]"
إصطخران,"[['QASRAIN_524E308N_S', 1], ['KHANRUSHAN_520E312N_S', 1]]"
نهر دبا,"[['UBULLA_478E304N_S', 1], ['FAMADUDI_481E304N_W', 1]]"
تل حور,"[['AMID_402E379N_S', 1], ['MALATIN_383E383N_S', 1]]"
كه,"[['MADHAR_678E353N_S', 1], ['BAMIYAN_678E348N_R', 1]]"
أناس,"[['KURDAKAN_556E297N_S', 1], ['RUDHAN_560E303N_S', 1]]"
فید,"[['AJFUR_429E274N_S', 1], ['TUZ_422E267N_S', 1]]"
الملتان,"[['QANDABIL_674E286N_S', 1], ['BASMAD_708E291N_S', 1]]"
جنكى,"[['RIBATHAJARIYYA_658E313N_S', 1], ['RIBAT_068W339N_S', 1]]"
شروراح,"[['MAHJARA_435E176N_S', 1], ['THUJJA_441E139N_R', 1]]"
قنب,"[['MUSH_414E387N_S', 1], ['SINNNUHAS_416E393N_S', 1]]"
قصر عمرو,"[['QARMASIN_470E343N_S', 1], ['ZUBAYDIYYA_469E344N_S', 1]]"
الغاضرة,"[['ISKANDARIYYA_299E311N_S', 1], ['FAQUS_317E307N_S', 1]]"
سيمور,"[['SANDAN_730E199N_S', 1], ['SARANDIB_808E076N_R', 1]]"
كورستان,"[['JISRJAHANNAM_502E314N_S', 1], ['RIBAT_068W339N_S', 1]]"
أوزكند,"[['USH_728E405N_S', 1], ['AQABA_251E314N_S', 1]]"
كلكاو,"[['DARIN_501E262N_S', 1], ['NAYSABUR_587E361N_R', 1]]"
قيسارية,"[['ARSUF_348E321N_S', 1], ['KAFARSABA_348E321N_S', 1]]"
قرية جويم,"[['KHULLAR_521E299N_S', 1], ['SHIRAZ_525E296N_S', 1]]"
قرقيسيا,"[['RUHBA_364E276N_R', 1], ['FUDAYN_405E354N_S', 1]]"
سونقين,"[['SAWA_504E349N_S', 1], ['MASDAQAN_498E350N_S', 1]]"
رباط علياباذ,"[['JARMJUWI_540E359N_S', 1], ['SIMNAN_534E354N_S', 1]]"
سابرخاست,"[['MARAGHA_462E373N_S', 1], ['BARZA_462E365N_S', 1]]"
جراناباذ,"[['ABTIA_500E336N_S', 1], ['KARAJ_495E338N_R', 1]]"
قصر الأمير,"[['FARIYAB_649E364N_S', 1], ['YAHUDIYYA_648E359N_S', 1]]"
أسداواذ,"[['HAFDAR_561E363N_S', 1], ['HAMADHAN_485E347N_R', 1]]"
بئر,"[['KAHAMANDA_531E302N_S', 1], ['ISTAKHR_529E299N_S', 1]]"
یثرب,"[['SUWAYDIYYA_359E360N_S', 1], ['BATNNAKHL_400E248N_R', 1]]"
جويم ابى احمد,"[['KARYAN_537E280N_S', 1], ['KARB_542E282N_S', 1]]"
جب أمير المؤمنين,"[['HARA_621E343N_R', 1], ['RASDUNYA_537E300N_S', 1]]"
نسا,"[['SHIRAZ_525E296N_S', 1], ['BAGHDAD_443E333N_S', 1]]"
خاره,"[['RIBATMAYANAH_627E345N_S', 1], ['QARYAMAJUS_541E317N_S', 1]]"
دير بازما,"[['NAHRAWAN_445E334N_S', 1], ['DASKARA_449E339N_S', 1]]"
خرمة,"[['DARIYAN_529E295N_S', 1], ['KATH_607E417N_S', 1]]"
قصر يزيد,"[['MARJ_462E343N_S', 1], ['ZUBAYDIYYA_469E344N_S', 1]]"
قرین,"[['JUDDA_391E214N_S', 1], ['MAKKA_398E213N_S', 1]]"
نيماراه,"[['SABUR_515E298N_R', 1], ['KHASHT_639E343N_S', 1]]"
خير,"[['NAYRIZ_542E292N_R', 1], ['KATH_607E417N_S', 1]]"
البذان,"[['BASINNA_483E319N_S', 1], ['BAYRUT_355E339N_S', 1]]"
قرية الحطب,"[['KAZARUN_516E296N_S', 1], ['DASHTARZAN_519E296N_S', 1]]"
تلخاب,"[['BARZAND_478E389N_S', 1], ['WARTHAN_476E395N_S', 1]]"
مهدي آباذ,"[['BAHIRABADH_624E368N_S', 1], ['FAZ_622E373N_S', 1]]"
أوفه,"[['KHASHT_639E343N_S', 1], ['MARABADH_630E343N_S', 1]]"
نهر الشاش,"[['KHAWAS_688E402N_S', 1], ['BANAKATH_688E407N_S', 1]]"
المعلاة,"[['RAWHA_392E241N_S', 1], ['BADR_447E138N_R', 1]]"
باحمشا,"[['UKBARA_442E338N_S', 1], ['QADISIYYA_441E316N_S', 1]]"
نهر الاردن,"[['AMMAN_359E319N_S', 1], ['BAYTMAQDIS_352E317N_S', 1]]"
مسجد أويس,"[['MADAN_091W386N_S', 1], ['ARZAN_416E379N_S', 1]]"
رامهرمز,"[['BADAH_499E312N_S', 1], ['TIRAM_498E313N_S', 1]]"
أشبورقان,"[['FARIYAB_649E364N_S', 1], ['BALKH_668E367N_R', 1]]"
ارجان,"[['ZAYTUN_503E305N_S', 1], ['RISHAHR_502E303N_S', 1]]"
سمیراء,"[['HAJIR_417E259N_S', 1], ['TUZ_422E267N_S', 1]]"
بستان بنى عامر,"[['DHATIRQ_404E216N_S', 1], ['MAKKA_398E213N_S', 1]]"
رباط جكربند,"[['RIBATHASAN_622E405N_S', 1], ['RIBATTUGHAN_628E401N_S', 1]]"
مضيق النهر,"[['NABADGHIN_620E407N_S', 1], ['RIBATMASH_614E413N_S', 1]]"
املوتا,"[['DINAZARI_559E375N_S', 1], ['AJGH_569E375N_S', 1]]"
ماذرواستان,"[['MARJ_462E343N_S', 1], ['HULWAN_562E339N_S', 1]]"
أمج,"[['KHAYM_395E223N_S', 1], ['USFAN_394E218N_S', 1]]"
خان,"[['DAWRAQ_489E308N_R', 1], ['BASINNA_483E319N_S', 1]]"
آلوسة,"[['FUHAYMA_421E342N_S', 1], ['ANA_419E344N_S', 1]]"
نفرة,"[['SAMMURA_057W414N_S', 1], ['HUWARA_004E355N_S', 1]]"
قورية,"[['BAJA_092E366N_S', 1], ['MARIDA_063W388N_S', 1]]"
الغريفة,"[['HASHIYYA_398E314N_S', 1], ['QURAKIR_377E313N_S', 1]]"
سروستان,"[['QARYARUMMAN_528E293N_S', 1], ['KURM_536E290N_S', 1]]"
وفراوندة,"[['KARAJ_495E338N_R', 1], ['DARAQAN_487E334N_S', 1]]"
الخان حان لنجان,"[['KARU_516E317N_S', 1], ['YAHUDIYYA_648E359N_S', 1]]"
طرابلس,"[['DIMASHQ_363E335N_S', 1], ['BAYRUT_355E339N_S', 1]]"
قزدار,"[['MASHKA_639E274N_S', 1], ['MANSURA_688E258N_S', 1]]"
جبل بيستون,"[['QANTARANUMAN_476E344N_S', 1], ['QARMASIN_470E343N_S', 1]]"
مجانة,"[['MAQQARA_050E355N_S', 1], ['MASILA_045E356N_S', 1]]"
بشتر,"[['KARKUYAH_617E312N_S', 1], ['JUWAYN_616E317N_S', 1]]"
فيق,"[['TABARIYYA_355E327N_S', 1], ['JASIM_360E329N_S', 1]]"
يونان,"[['BARDHAA_472E404N_S', 1], ['BAYLAQAN_474E398N_S', 1]]"
ودروه,"[['SAWA_504E349N_S', 1], ['MASHKUYA_507E353N_S', 1]]"
دشت داودي,"[['JANNABA_505E296N_S', 1], ['TUZ_422E267N_S', 1]]"
يعاث,"[['JUSIYA_365E344N_S', 1], ['BALABAKK_361E340N_S', 1]]"
ضریة,"[['TIKHFA_430E249N_S', 1], ['JADILA_429E240N_S', 1]]"
زامين,"[['KHAWAS_688E402N_S', 1], ['SAMARQAND_670E396N_S', 1]]"
الفعونية,"[['HISNZIYAD_392E387N_S', 1], ['SHIMSHAT_398E386N_S', 1]]"
كولسره,"[['KHUNAJ_472E373N_S', 1], ['MARAGHA_462E373N_S', 1]]"
منزل ابن بندقة,"[['BUWAYB_315E301N_S', 1], ['AJARUD_323E300N_S', 1]]"
یحصب,"[['SUHUL_440E141N_R', 1], ['DHIMAR_443E145N_S', 1]]"
غبيرا,"[['KUGHUN_570E296N_S', 1], ['KHANNAB_567E298N_S', 1]]"
معلثايا,"[['MAZARII_430E366N_S', 1], ['HASANIYYA_427E371N_S', 1]]"
أشترمغك,"[['SARAKHS_611E365N_S', 1], ['TALASTANA_614E370N_S', 1]]"
الكبس,"[['KATANA_102E336N_S', 1], ['QAYRAWAN_101E357N_S', 1]]"
المونسة,"[['ADHRAMA_417E369N_S', 1], ['NASIBIN_412E370N_S', 1]]"
بیشة,"[['JUSADA_427E195N_S', 1], ['TABALA_424E200N_S', 1]]"
يافه,"[['RAMLA_348E319N_S', 1], ['ASQALAN_345E316N_S', 1]]"
سقيا بنى غفار,"[['ARJ_392E238N_O', 1], ['ABWA_390E232N_S', 1]]"
الشبيكة(السنبلة),"[['WAJRA_409E220N_S', 1], ['QUBA_721E405N_S', 1]]"
جبل,"[['NAHRSABUS_459E324N_S', 1], ['NUMANIYYA_454E325N_S', 1]]"
صيدا,"[['SUR_352E332N_S', 1], ['DIMASHQ_363E335N_S', 1]]"
